Benjamin Gandon,"['Company Gstack Position CEO Location Paris Area, France']"
Bertrand Gare,"[""Company L'Informaticien""]"
Patricia Gautry,['Company SUSE Position Global Alliance Manager Location France']
Marc Geall,['Company SAP UK Ltd Position SVP Platform Innovation Location London']
Paul Geerlings,['Company ITQ Position CTO']
Violeta Georgieva,['Company Pivotal']
Tim Gerlach,"['Company SAP Position Technical Lead SAP Cloud Platform Performance Location Heidelberg, Deutschland']"
Jürgen Geßwein,['Company Siemens']
Thomas Di Giacomo,"['Company SUSE Position CTO Location 46.238285,6.12124']"
Deb Giles,['']
Patrick Gillis,['Company Pivotal']
Robert Girts,['Company SAP SE']
Francesca Del Giudice,['Company Volkswagen AG']
Boban Glisovic,['Company Swisscom Position Head of Cloud Marketplace']
Tom Godkin,['Company Pivotal Position Software Engineer']
Bjoern Goerke,['Company SAP SE Position Chief Technology Officer and President SAP Cloud Platform']
Peter Goetz,"['Company IBM Position Software Engineer Location Boeblingen, Germany']"
Robert Gogolok,['Company anynines Position Platform Engineer']
Suresh Goli,['Company Wipro Position Platform Engineer']
Ignacio Gomez,['Company SUSE Position EMEA Cloud Foundry Sales Location United Kingdom']
James Governor,['']
Steve Greenberg,['Company Founder Position Resilient Scale']
Dennis Groß,['']
Lukas Grossar,"['Company Adfinis SyGroup AG Position Linux System Engineer Location Bern, Switzerland']"
Daniel Gruber,['Company Pivotal']
Alex Guedes,['']
Sam Gunaratne,['Company Pivotal Position Software Engineer']
Matthias Haeussier,"['Company NovaTec Consulting GmbH Position Cloud Consultant Location Stuttgart, Germany']"
Ralf Hager,['Company SWM Services GmbH']
Alan Hale,['Company Pivotal']
Ben Hale,['Company Pivotal Position Cloud Foundry Java Experience Lead']
Arthur Halet,['Company Orange']
BENGT ARVID GADELHA HAMMARLUND,['Company Pivotal Position Senior Software Engineer Location Dublin']
Bengt Gadelha Hammarlund,['Company Pivotal Position Software Engineer Location Dublin']
Jennifer Hamon,"['Company Pivotal Position Senior Software Engineer Location Palo Alto, CA']"
Zenon Hannick,['Company Armakuni Position COO']
Amitoj Hanspal,['Company Capita Position Development Manager']
Clemens Hardewig,['Company T-Systems International GmbH']
Sander Harrewijnen,['Company ITQ Position .NET Application Developer Location Netherlands']
Tim Harris,['Company Cloud Foundry Foundation Position Director of Certification']
Oliver Wolf,[u'Company anynines Position Lead Platform Engineer']
Rachael Wonnacott,[u'Company Fidelity International Position PaaS Engineer']
Debbie Wood,[u'Company Pivotal Position Product Manager']
James Wynne,"[u'Company Pivotal Position Staff Software Engineer Location Dublin, Ireland']"
Panagiotis Xynos,"[u'Company Engineer Better Position Senior Software Engineer Location London, England']"
Bo Yang,[u'Company IBM Position Senior Technical Staff Member']
Enes Yildirim,[u'Company Boeing Position General Manager of Digital Transformation Environment Location Greater Seattle Area']
Enes Yildirim,[u'Company Boeing Position Boeing Digital Transformation Environment Global Program Leader']
Dan Young,[u'Company Engineer Better']
Denise Yu,[u'Company Pivotal Position Software Engineer']
Alex Zalesov,"[u'Company Altoros Position Cloud Architect Location Minsk, Belarus']"
Gong Zhang,[u'Company IBM Position Advisory Software Engineer Location Beijing']
David Zimmerli,"[u'Company Swisscom Position Product Manager Location Zurich, Switzerland']"
Cassie Zimmerman,[u'Company Redis Labs Position Alliances Lead']
Steffen Zuber,[u'Company anynines Position Platform-Engineer']
