Jennifer Cloer,"['Company The Chasing Grace Project Position Creator and Executive Producer Location Portland, Oregon']"
Greg Cobb,['']
Shannon Coen,['Company Pivotal Position Product Manager Location San Francisco Bay Area']
Josh Collins,['Company Pivotal Position PM - CF Release Integration Location San Francisco']
Carlo Colombo,"['Location Dublin, Ireland']"
Cai Cooper,['Company Fiserv Position Head of Cloud Platform Operations']
Joseph Cordina,['Company Dell EMC Position Solution Lead']
Matthew Cosgrove,['Company Dell EMC']
Orhan Coskun,['Company Swisscom Position Test Manager Location Geneva']
Richard Cox,"['Company SUSE Position Software Engineer Location Bristol, UK']"
Chris Crall,['Company Google Position Product Manager']
Spencer Critchlow,['Company Pivotal']
Molly Crowther,['Company Pivotal Position Senior Technical Program Manager Location San Francisco Bay Area']
Theo Cushion,['Company HSBC']
Neven Cvetkovic,"['Company Pivotal Position Advisory Platform Architect Location Stockholm, Sweden']"
Paul Czarkowski,['Company Pivotal Position Systems Engineer']
Kerstin Daher,"['Company Pivotal Position Account Manager Location Hamburg Area, Germany']"
Jochen Damzog,['Company Robert Bosch GmbH']
Kamala Dasika,"['Company Pivotal Position Product Team, Cloud Platform Ecosystem Location California, USA']"
Cornelia Davis,['Company Pivotal Position Senior Director of Technology Location San Francisco']
Devin Davis,['Company Cloud Foundry Foundation Position VP of Marketing']
Norris Deajon,['Company The New Stack Position AV']
Dimitrios Dentsas,['Company Robert Bosch GmbH']
Claude Devarenne,['Company Pivotal Position Adivsory Field Engineer Location San Francisco']
Gaurab Dey,['Company Pivotal Software Inc. Position Sr. Software Engineer Location San Francisco Bay Area']
Manuel Dietrich,"['Company nexoya Ltd. Position CEO Location Zurich, Switzerland']"
Alexander Dietzsch,"['Company Robert Bosch GmbH Location Stuttgart Area, Germany']"
Marie-Jeanne Dougados,['Company Pivotal']
Amelia Downs,['Company Pivotal Position Software Engineer']
Oliver Drechsler,['Company Robert Bosch GmbH']
Dormain Drewitz,['Company Pivotal Position Senior Director Location San Francisco Bay Area']
Fabian Dubler,['Company opiniooon gmbh']
Carsten Duch,['Company SUSE Linux GmbH Position Sales Engineer Location Germany']
Florian Dudouet,['Company Swisscom']
Chris Dufour,"['Company West Position Principal Developer Location Toronto, Canada Area']"
Surya V Duggirala,"['Company IBM Position STSM, IBM Cloud Architecture & Performance Engineering Location Greater Minneapolis-St. Paul Area']"
Chris Dutra,['Company Pivotal']
Ingo Ebel,['Company RadioTux.de Position Reporter Location Überall und Nirgends']
Rob Edwards,['Company Pivotal Position Senior Platform Architect Location UK']
Jochen Ehret,['Company SAP SE Location Walldorf']
Jesse Eichar,['Company mimacom']
Joerg Erdmenger,"['Company IBM Location Stuttgart Area, Germany']"
Boucherie Eric,['Company Air France Position System Engineer Location France - Sophia Antipolis']
Mathias Essenpreis,['Company SAP SE']
Mathias Essenpreis,['Company SAP SE Position Development Manager HCP Security Services']
Derik Evangelista,['Company Pivotal Position Senior Software Engineer']
Linux Foundation Events,['']
Daniel Fein,['Company Pivotal Position Product Research and Design Location San Francisco']
John Feminella,['Company Pivotal Position Advisor']
Julian Fischer,['Company Anynines Position CEO']
Florent Flament,['']
Dieter Flick,['Company Pivotal Position Advisory Platform Architect Location Germany']
Alan Flower,['']
Donald Forbes,['']
Adi Foulger,['Company Redis Labs Position Solution Architect']
Hannah Foxwell,['Company Pivotal Position Delivery Manager at Pivotal']
Stephan Freudl,['Company Talanx AG']
Julz Friedman,['Company IBM Position Open Sourceror']
Antje Friedrich,['Company mimacom']
Ariane Fuechtner,"['Company Fuechtner Kommunikation Position Owner Location Potsdam, DE']"
