Andreas Landenberger,"['Company DATEV eG Position Senior Professional, IT Architect']"
Andreas Lange,['Company Pivotal']
Frederic Lardinois,['Company TechCrunch Position Enterprise Editor']
Fabien Lebrere,['Company AirFrance-KLM Position Platform Change Management Product Owner']
Lukas Lehmann,['Company Swisscom']
Rene Lehmann,['']
Bas Lemmens,['Company Pivotal']
Diego Lemos,['']
Sara Lenz,['Company anynines Position Sales & Account Manager Location Germany']
George Lestaris,"['Company \xa0Pivotal Position Product Manager Location London, UK']"
Stephen Levine,['Company Pivotal Position Product Manager']
Adam Lewis,"['Company Atos Position VP, Global Product Manager - Enterprise Cloud Platforms']"
Alex Ley,['Company Pivotal Position Staff Product Manager Location London']
Yashu Liang,['Company SAP SE Position Development Expert']
