Sayan Hazra,['Company SAP Position Software Engineer Location Munich']
Jörg Hecker,['Company Pivotal Position Engagement Director Location Munich']
Assaf Hefetz,['Company Snyk Position Co-founder CTO']
Daniel Hekman,"['Company Grape Up Inc. Position Head of Business Development, Americas Location Santa Clara, USA']"
Marco Hennig,['Company evoila Position Software Engineer']
Denny Herbrich,"['Company Pivotal Position Senior Solutions Architect Location Dresden Area, Germany']"
Stefanie Herbst,['Company Robert Bosch GmbH']
Vanessa Heric,['']
Luis Herrera,"['Company Pivotal Position Advisory Platform Architect Location Madrid Area, Spain']"
Franz-Philipp Heutzenroeder,['Company Volkswagen AG Position LVL 20 Cloud Mage']
Adam Hevenor,['Company Pivotal Position Product Manager Location Greater Denver Area']
Neil Hickey,['Company Pivotal Position Software Engineer Location Ireland']
Johannes Hiemer,['Company evoila Position CEO Location Mainz']
Josh Hill,['']
Josh Hill,['Company Pivotal Position Senior Software Engineer Location London']
Carsten Hiort,['Company Springer Nature // Springer Fachmedien Wiesbaden']
Jeff Hobbs,"['Company SUSE Position Director, Engineering']"
Daniel Hoff,['Company anynines']
Rafael Hoff,['Company SAP Position Software Architect']
Fabian Hoffschröer,['Company Swisscom Position DevOps Engineer Location Bern']
Ulrich Homann,['Company Microsoft Position Distinguished Architect']
AJ Homma,['Company KLM']
Jimmy Hong,"['Location Clay, New York']"
Matthew Horan,"['Company Pivotal Position Software Engineer Location Brooklyn, NY']"
Sylvain Houdusse,['Company Orange Business Services']
Tammy Van Hove,"['Company IBM Position Distinguished Engineer & Director, Cloud Foundry Location Rochester, Minnesota']"
Shanfan Huang,['Company Pivotal Position Product Design Location New York']
Jens Huesken,['']
Colin Humphreys,['Company Pivotal Position CTO Cloud']
Colin Humphreys,['Company Pivotal Position Pivot Location London']
Aaron Hurley,['Company Pivotal Position Software Engineer']
Shane Huston,['Company Pivotal Position Engineering Manager']
Monika Illgner-Kurz,['Company IBM']
Vlad Iovanov,['Company SUSE Position Architect']
Vlad Iovanov,['']
Simon Isenschmid,['Company BIT Bundesamt für Informatik Position Cloud Engineer Location Bern']
Ina Ivanova,"['Company SAP Position Product Manager, SAP Cloud Platform']"
Mike Jacobi,"['Company Altoros Position Director, North America Field Services, Principal Solutions Architect Location Seattle, WA']"
Dan Jahner,['Company Pivotal Position Senior Product Manager Location San Francisco Bay Area']
Ashish Jain,['Company SAP Position Product Owner']
Shashank Jain,['Company SAP Position Chief Development Architect']
Thorsten Jakoby,['Company NovaTec Consulting GmbH Position Cloud Consultant']
Klaus Jansen-Knor,"['Company Pivotal Position Client Executive Location Berlin Area, Germany']"
Richard Johnson,['Company IBM']
Lonn Johnston,['Company Flak42 Position President']
Daniel Jones,"['Company EngineerBetter Ltd Position CTO Location London, United Kingdom']"
Lars Jonuscheit,"['Position Management Consultant Location Munich, Germany']"
Stephen Jordan,['Company FINkit']
Rolf Jordi,['Company Swisscom AG']
Sandeep Joseph,['Company SAP SE']
Sanjay Joshi,"['Company IBM Position Technical Offering Manager Location RTP, North Carolina']"
Omar Mahdi Kais,['']
Sigfried Kanthak,['Company Swiss Life Deutschland Operation GmbH']
Konstantinos Karampogias,"['Company Swisscom Position Software Engineer Location Zürich Area, Switzerland']"
Christoph Karbach,['Company Allianz Germany']
Nima Kaviani,"['Company IBM Position Senior Cloud Engineer, IBM']"
Abby Kearns,['Company Cloud Foundry Foundation Position Executive Director']
Sean Keery,"['Company Pivotal Position Associate Director Location Aspen, Colorado']"
Ruurd Keizer,['']
Ruurd Keizer,"['Company ITQ Consultancy Position Cloud Native Lead Location Amsterdam Area, Netherlands']"
Vaibhav Kelkar,['Company Redis Labs Position Principal Product Manager']
Fabian Keller,"['Company mimacom Position Software Engineer Location Stuttgart, Germany']"
Jason Kennedy,['Company IBM Position Content and Community Manager']
Paula Kennedy,"['Company Pivotal Position Director, PCF Solutions']"
Ben Kepes,['Company Diversity Limited Position Technology Evangelist Location Waipara']
Michael Kerrisk,['Company man7.org Training and Consulting Position Trainer/consultant Location Germany']
Arsalan Khan,"['Company CGI Position Lead Consultant / Developer Location Stuttgart, Germany']"
Daniel Khan,['']
Akshaya Khare,['Company Dell EMC Position Software Engineer 2']
Siarhei Khudzinski,['']
Emmanouil Kiagias,['Company Pivotal Position Software Engineer']
Ed King,['Company Pivotal Position Software Engineer Location London UK']
Josh Kirkwood,['Company CyberArk Position DevOps Security Lead']
Andreas Klein,['Company SAP SE']
Juerg Kohler,['Company SUSE Position Account Executive']
Klaus Kopecz,['Company SAP Position Development Architect']
Ruben Koster,['Company \xa0Stark & Wayne']
Peter Kovacs,['Company Swisscom']
Mateusz Kowalski,"['Location Zürich, Switzerland']"
Andrei Krasnitski,['Company Altoros Position Software Engineer']
Kimberly Krebs,"['Company Demandbridge Position Sr Software Engineer Location Baltimore, Maryland Area']"
Mathis Kretz,['Company Swisscom Position Head of Cloud Empowerment in IT Clouds Tribe']
Ning Kuang,"['Company Microsoft Position Senior Program Manager Location Redmond, WA']"
Cristian Kunst,['Company Pivotal Position Enterprise Architect']
Philip Kuryloski,['Company Pivotal']
Daniel Lahl,['Company SAP']
